brand_slug,part_number,title,url,availability,category,series,raw
"schneider","04243","XAvailableSCHNEIDER ELECTRIC Covers for horizontal cable straps (4) - Prisma[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove","https://www.obsoautomation.com/product/04243/","","","","{""snippet"":""X04243AvailableSCHNEIDER ELECTRIC Covers for horizontal cable straps (4) - Prisma[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","2070001","XAvailableSCHNEIDER ELECTRIC TC 22-26 2,5x45mm white Clip, round[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove","https://www.obsoautomation.com/product/2070001/","","","","{""snippet"":""X2070001AvailableSCHNEIDER ELECTRIC TC 22-26 2,5x45mm white Clip, round[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","23016","XAvailableSCHNEIDER ELECTRIC ACTI9 IID 4P 40A 30MA A-SI-TYPE RESIDUAL[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove","https://www.obsoautomation.com/product/23016/","","","","{""snippet"":""X23016AvailableSCHNEIDER ELECTRIC ACTI9 IID 4P 40A 30MA A-SI-TYPE RESIDUAL[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","33622","XAvailableSCHNEIDER ELECTRIC 3P SPREADER 630/1600A[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove","https://www.obsoautomation.com/product/33622/","","","","{""snippet"":""X33622AvailableSCHNEIDER ELECTRIC 3P SPREADER 630/1600A[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","a9f77316","A9F77316","https://www.obsoautomation.com/product/a9f77316/","","","","{""snippet"":""XA9F77316AvailableSCHNEIDER ELECTRIC Acti9, iC60N circuit breaker 3P 16A curve C[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","a9f79116","A9F79116","https://www.obsoautomation.com/product/a9f79116/","","","","{""snippet"":""XA9F79116AvailableSCHNEIDER ELECTRIC iC60N 1P C 16A 6000A[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","a9f89310","A9F89310","https://www.obsoautomation.com/product/a9f89310/","","","","{""snippet"":""XA9F89310AvailableSCHNEIDER ELECTRIC iC60H 3P C 10A 10000A[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","a9r63640","A9R63640","https://www.obsoautomation.com/product/a9r63640/","","","","{""snippet"":""XA9R63640AvailableSCHNEIDER ELECTRIC A9R63640[…]SCHNEIDER ELECTRICQuick QuoteQuick QuoteAvailable to EnquiryRemove""}"
"schneider","1794-asb2","1794-ASB2","https://www.obsoautomation.com/product/1794-asb2/","","","","{""snippet"":""1794-ASB2 Available ALLEN BRADLEY FLEX REMOTE I/O ADAPTER[…] Get a Quote""}"
"schneider","evs9326-es","EVS9326-ES","https://www.obsoautomation.com/product/evs9326-es/","","","","{""snippet"":""EVS9326-ES Available LENZE SERVO CONTROLLER[…] Get a Quote""}"
